instruction,input,response
"De quels événements d'e-sport l'équipe a-t-elle participé en 2021, 2022, 2023 et 2024 ?",,"Finaliste Estival de la LFL, Finaliste des LFL Finals, 3e/4e place Coupe de France 2022, 5e/8e place Coupe de France 2023, 3e place Dragonlands 2022, 3e place Split 1 2022, 5e/8e place Rocket League Championship Series 2022, 4e et 5e/8e places RLCS - International LAN Major 2022, 3e/4e place Rocket League Championship Series 2023, 3e place RLCS - International LAN Major 1 2024, 3e/4e place VRL France Révolution, 4e place Lyon e-Sport 2022."
Quelle structure a le plus de participation en finale des Amazon European Masters ?,,League of Legends
Quelle structure est la plus titrée des Amazon European Masters ?,,League of Legends
Quelle structure a remporté trois fois de suite les Amazon European Masters ?,,League of Legends
Quelle structure s'est qualifiée trois fois de suite pour la finale des Amazon European Masters ?,,League of Legends
Quelle structure a remporté deux fois de suite les Amazon European Masters ?,,League of Legends
Quelle structure s'est qualifiée deux fois de suite pour la finale des Amazon European Masters ?,,League of Legends
Qui a remporté le tout premier championnat du monde de Teamfight Tactics en 2020 ?,,Renvoyez-moi une liste d'
Qui joue sur la zone haute de la carte dans League of Legends ?,,"Le top laner. 

-"
Où joue le jungler dans League of Legends ?,,"Dans la jungle. 

-"
Quel est le rôle du mid laner dans League of Legends ?,,"Jouer sur la zone se trouvant au milieu de la carte. 

-"
Quel joueur joue sur la zone basse de la carte dans League of Legends ?,,"L'AD Carry, aussi appelé ADC ou bot laner. 

-"
Avec qui forme le support un duo dans League of Legends ?,,"Avec le joueur ayant le rôle d'AD Carry. 

- element :
    Instruction : Quel est le surnom de l'équipe Misfits Gaming en référence à leur logo ? 
    Response : Un lapin. 

-"
"Que désigne le terme ""roster"" dans le contexte d'une équipe de jeu vidéo ?",,"L'ensemble des joueurs de l'équipe. 

-"
Qu'est-ce qu'un match amical dans le contexte des compétitions de jeu vidéo ?,,Un match en condition de tournoi mais qui ne s'inscrit dans aucune compétition officielle.
Quel événement a eu lieu le 11 juillet 2023 selon France Info ?,Aucune,"Avec les ""Blue Wall"" au championnat de France de League of Legends"
Quel article a été publié par Le Figaro le 14 mars 2022 ?,Aucune,"Esport : des ultras ""comme dans le foot"" pour la Karmine Corp"
Quel événement marquant est prévu pour l'été prochain selon France Info ?,Aucune,"L'incroyable success story de la Karmine Corp : le club d'esport français aura ses Arènes à Evry-Courcouronnes, l'été prochain"
Qui est le champion du monde de TFT selon L'Équipe ?,Aucune,"Le Français Emre ""Double61"" Demitras"
Quelle alliance a été faite entre Prime et la Kameto Corp selon Dexerto ?,Aucune,Prime s'allie à la Kameto Corp pour rentrer en LFL avec Karmine Corp
Qui sont les fondateurs de la Karmine Corp selon Breakflip ?,Aucune,Kameto et Prime créent la Karmine Corp (KC) et remplacent la Kameto Corp
Quel est le nom de l'auteur de l'article sur la victoire de la Karmine Corp aux European Masters Summer split 2021 ?,informations supplémentaires fournies avec l'instruction pour aider à formuler la réponse,Paul Arrivé
Quelle est la date de publication de l'article sur la victoire de la Karmine Corp aux European Masters Summer split 2021 ?,informations supplémentaires fournies avec l'instruction pour aider à formuler la réponse,19 septembre 2021
Où peut-on trouver l'article sur la victoire de la Karmine Corp aux European Masters Summer split 2021 ?,informations supplémentaires fournies avec l'instruction pour aider à formuler la réponse,sur Against All Authority
Qui a écrit l'article sur la difficile entrée de la Karmine en EMEA Masters ?,informations supplémentaires fournies avec l'instruction pour aider à formuler la réponse,Corentin Phalip
Quelle est la date de consultation de l'article sur l'invincibilité de la Karmine Corp en League of Legends ?,informations supplémentaires fournies avec l'instruction pour aider à formuler la réponse,7 mars 2024
Quel journal a publié un article sur l'entrée de la Karmine Corp dans l'élite européenne de League of Legends ?,informations supplémentaires fournies avec l'instruction pour aider à formuler la réponse,Le Monde
Quel est le titre de l'article de Paul Arrivé sur la victoire de la Karmine Corp aux European Masters Summer split 2021 ?,informations supplémentaires fournies avec l'instruction pour aider à formuler la réponse,La Karmine Corp arrache un doublé inédit
Quelle est la date de consultation de l'article sur l'entrée de la Karmine Corp dans l'élite européenne de League of Legends ?,informations supplémentaires fournies avec l'instruction pour aider à formuler la réponse,8 janvier 2024
Quel est le nom de l'équipe d'esport mentionnée dans le texte ?,,Karmine Corp
Quelle est la date de publication de l'article sur MGG ?,,18 octobre 2023
Quel est le titre de l'article sur L'Équipe consulté le 14 août 2024 ?,,"Esport - Karmine Corp : KCX, un événement ultra réussi"
Qui est l'auteur de l'article sur l'Esport à Bercy publié le 24 juin 2022 sur L'Equipe ?,,Paul Arrivé
Quel est le nom du cofondateur de la Karmine Corp mentionné dans le texte ?,,Kameto
"Quelle est la date à laquelle la Karmine Corp s'installera dans les ""Arènes de l'Agora"" à Evry ?","nom de l'événement (""Arènes de l'Agora"")",En 2024
Quel est le nom du projet de la Karmine Corp pour trouver les talents de demain ?,,Karmine Blue Stars
Quel joueur la Karmine Corp a-t-elle annoncé en premier pour son entrée en LFL ?,,Adam
Quel site web a publié un article sur les jeunes de la Karmine impressionnant dans League of Legends ?,nom du jeu (League of Legends),L'Équipe
Dans quelle division de la LFL est restée Team Oplon en 2021 ?,,Division 2
Quelle est la date de publication de l'article sur Dexerto.fr concernant l'équipe de League of Legends de la Karmine Corp?,Dexerto.fr,24 décembre 2020
Quel site web a publié un article sur le Power Ranking anticipé de la LFL en 2021?,Millenium FR,Millenium FR
Qui a écrit l'article sur la victoire de la Karmine Corp en LFL consulté le 15 avril 2024?,Eclypsia,Zonneuve
Quelle équipe a remporté les European Masters?,European Masters,la Karmine Corp
Quel président a félicité l'équipe de Kameto et Prime?,Kameto et Prime,Macron Karmine Corp
"Quelle équipe a dit au revoir à Cinkrof, xMatty et Targamas ?",Team aAa,Karmine Corp
Qui va rejoindre la Karmine Corp selon Paul Arrivé ?,L'Équipe,Rekkles
Quel média a parlé du transfert de Rekkles vers la Karmine Corp ?,Millenium FR,Millenium FR
Quel événement a mis en scène Ibai's KOI et la Karmine Corp avec 477k viewers sur Twitch ?,Dexerto,LCS finals
Quelle est la rivalité mentionnée dans l'article d'Esport de Paul Arrivé ?,L'Équipe,"KCorp, Koi"
Qui a remporté le match retour face à KOI?,Against All Authority- aAa,"Cabochard, Rekkles et les Kcorp"
Quel est le nouveau partenaire de la Karmine Corp dans l'esport?,Orange,Orange
Quel événement a eu lieu entre la Karmine Corp et Solary?,Le classico Karmine Corp - Solary,Un match
Qui a terminé dans le top 2 de la saison régulière de la LFL et s'est qualifié pour les EUM?,LDLC OL et la Karmine Corp,LDLC OL et la Karmine Corp
Qui a écrasé la Karmine Corp en playoffs de la LFL?,LDLC OL,LDLC OL
Quel est le nom de l'article mentionné dans le texte ?,,"""League of Legends : Caliste-Targamas, meilleure botlane de l'histoire de la LFL ?"""
Quelle est la date de consultation de l'article sur Eclypsia ?,,Le 8 août 2023
Quel est le titre de l'article sur la Karmine Corp dans L'Équipe du 11 août 2023 ?,,"""Esport - League of Legends : la Karmine Corp championne de France"""
Quelle date L'Équipe a-t-il consulté un article sur la Karmine Corp arrachant sa place en finale des EMEA Masters ?,,Le 6 septembre 2023
Qu'est-ce que Sheep Esports a annoncé le 18 octobre 2023 ?,,"""Karmine Corp annonce rejoindre la LEC"""
Quelle est la date de consultation de l'article sur Le Monde.fr annonçant l'entrée de la Karmine Corp dans la LEC ?,,Le 11 avril 2024
Quel est le titre de l'article sur la Karmine dans Eclypsia du 28 janvier 2024 ?,,"""League of Legends - LEC : la Karmine délivrée, G2 tacle son rival, GiantX se rapproche"""
Quelle entreprise est mentionnée dans le texte ?,,Karmine Corp
Quel jeu est mentionné dans le texte ?,,Trackmania
Quelle équipe a remporté le championnat du monde sur Trackmania ?,,Karmine Corp
Quand la Karmine Corp a-t-elle été couronnée championne du monde sur Trackmania ?,,27 novembre 2023
Quel est le titre de l'article sur BFMTV mentionné dans le texte ?,,"Esport: la Karmine Corp devient championne du monde sur le jeu de course ""Trackmania"""
"Quelle est la raison de la Karmine Corp pour se retirer de la compétition sur TrackMania, Super Smash Bros. et Teamfight Tactics?",,"Retrait de la Karmine Corp de la compétition sur TrackMania, Super Smash Bros. et Teamfight Tactics
    
-"
Sur quel jeu la Karmine Corp s'est-elle lancée récemment ?,,"La Karmine Corp s'est lancée récemment sur Rocket League
    
-"
Quel événement a remporté la Karmine Corp avec le joueur belge AztraL ?,Joueur belge AztraL,"La Karmine Corp a remporté le Weplay Esports Invitational avec le joueur belge AztraL
    
-"
Quelle performance la Karmine Corp a-t-elle réalisée dès ses débuts sur Rocket League ?,,La Karmine Corp a été performante dès ses débuts sur Rocket League
Quelle équipe a remporté le triplé dans Rocket League lors de RLCS EU ?,RLCS EU,Karmine Corp
Quel est le titre du dernier article sur la Karmine Corp concernant Valorant ?,Valorant,La Karmine Corp Se Sépare De Son Roster Valorant
Quel site a publié un article sur la victoire de Gentle Mates à Copenhague dans Rocket League ?,Copenhague,20 minutes
Quel est le site web où l'article sur la Karmine Corp dans Valorant a été publié en premier ?,Valorant,Team aAa
Quelle publication a rapporté la participation de la Karmine Corp dans Valorant pour la première fois ?,Valorant,Dexerto.fr
Quel site web a été consulté pour lire un article sur le premier titre européen de la Karmine Corp dans Valorant ?,première titre européen,L'Équipe
Quel site web a été consulté pour obtenir des informations sur Valorant Esports ?,Valorant Esports,valorantesports.com
Quelles informations sont disponibles sur l'équipe KC Valorant féminine?,Aucune,"Les informations sur l'équipe KC Valorant féminine sont disponibles sur le site Breakflip, consulté le 14 février 2023."
"Quelle est la dernière activité de la Karmine Corp sur Trackmania, TFT et Smash?",Aucune,"La Karmine Corp a cessé ses activités sur Trackmania, TFT et Smash, selon un article d'Eclypsia datant du 19 décembre 2023 et consulté le 17 avril 2024."
Quelle information est donnée sur la participation de la Karmine Corp dans le jeu Fortnite?,Aucune,"La Karmine Corp a annoncé qu'elle se lance sur Fortnite, selon un article de BFMTV consulté le 16 avril 2024."
Quelle entreprise s'est associée à la Karmine Corp selon Sport Stratégies ?,,"Direct Assurance

-"
De quelle entreprise est devenu le fournisseur de la Karmine Corp selon sportstrategies.com ?,,"ekWateur

-"
Quand le CIC est-il devenu partenaire de la Karmine Corp selon L'Équipe ?,,3 janvier 2024
Quelle est la date de fondation de Karmine Corp ?,,30 mars 2020 (Kameto Corp) 16 novembre 2020 (Karmine Corp)
Quels sont les sigles utilisés pour désigner Karmine Corp ?,,"KCorp, KC"
Quel est le type de Karmine Corp ?,,Club esportif
Où est situé le siège de Karmine Corp ?,,Tours (de jure) Paris (de facto)
Qui sont les fondateurs de Karmine Corp ?,,"Kameto, Kotei (d), Prime"
Qui est le président de Karmine Corp depuis 2021 ?,,Kameto
Quels sont les sponsors de Karmine Corp ?,,"Fitness Park, Logitech, Michelin, Orange, Samsung Electronics, NZXT (en), Red Bull, Ekwateur, Crédit industriel et commercial, Celio"
Quel est le site web de Karmine Corp ?,,www.karminecorp.fr
Quand a été formée Karmine Corp ?,Nom de la structure,Karmine Corp a été formée le 30 mars 2020.
Qui a formé Karmine Corp ?,Nom de la structure,Karmine Corp a été formée par le duo de streamers Kamel « Kameto » Kebir et Zouhair « Kotei » Darji.
Qui préside Karmine Corp ?,Nom de la structure,Karmine Corp est présidée par Kameto.
Qui a rejoint la direction de Karmine Corp en novembre 2020 ?,"Nom de la structure, date",Amine « Prime » Mekri a rejoint la direction de Karmine Corp en novembre 2020.
Où est basée principalement l'entreprise Karmine Corp ?,Nom de la structure,L'entreprise Karmine Corp est basée principalement à Paris.
Depuis quand dispose-t-elle de locaux à Berlin ?,"Nom de la structure, date",Karmine Corp dispose de locaux à Berlin depuis 2023.
En quelle année est devenue club résident aux Arènes de l'Agora à Evry-Courcouronnes ?,"Nom de la structure, date",Karmine Corp est devenue club résident aux Arènes de l'Agora à Evry-Courcouronnes en 2024.
Quelle section de jeu vidéo a été créée par la structure dans le monde de l'esport ?,,League of Legends
Quels titres la structure a-t-elle remportés en 2021 ?,,championne des segments de printemps et d'été 2021
Quel événement annuel est organisé par la structure pour rassembler plusieurs dizaines de milliers de spectateurs ?,,Karmine Corp Experience (KCX)
Qui a annoncé la création de la structure d'e-sport Kameto Corp ?,date (30 mars 2020),Kamel « Kameto » Kebir
Quel est le nom de l'association dont font partie les ultras de la Karmine Corp ?,,Le Blue Wall
Avec qui Kamel « Kameto » Kebir a-t-il créé la structure d'e-sport Kameto Corp ?,,Zouhair « Kotei » Darji
Quels sont les jeux dans lesquels la Kameto Corp s'est fait connaître en remportant des compétitions ?,"Teamfight Tactics (TFT), TrackMania","Teamfight Tactics (TFT), TrackMania"
Quels joueurs ont remporté les mondiaux de Teamfight Tactics (TFT) avec la Kameto Corp ?,Emre « Double61 » Demirtas,Emre « Double61 » Demirtas
Quels joueurs ont remporté un titre de champions du monde sur TrackMania avec la Kameto Corp ?,"Brendan « Bren » Seve, Youen « Otaaaq » Egler","Brendan « Bren » Seve, Youen « Otaaaq » Egler"
Qui a rejoint le duo en novembre 2020 comme cofondateur ?,novembre 2020,Amine « Prime » Mekri
Quelle est la nouvelle appellation de la structure après l'arrivée d'Amine « Prime » Mekri ?,Amine « Prime » Mekri,Karmine Corp
Quelle ligue la Karmine Corp a-t-elle rejoint pour la saison suivante après l'arrivée d'Amine « Prime » Mekri ?,Amine « Prime » Mekri,Ligue française de League of Legends (LFL)
Quel championnat la Karmine Corp a-t-elle remporté en 2021 ?,2021,Segment de printemps de la LFL
Quelle compétition européenne la Karmine Corp a-t-elle remportée en 2021 ?,2021,Deuxième division européenne EMEA Masters
Combien de fois la Karmine Corp a-t-elle remporté le championnat européen ?,championnat européen,Deux fois
Quel titre la Karmine Corp a-t-elle remporté pour la troisième fois en triplé en 2022 ?,2022,Segment de printemps
Quelle équipe a remporté la ligue française et les EMEA Masters en 2023?,,L'équipe a remporté la ligue française et les EMEA Masters en 2023.
Combien de fois l'équipe a remporté les EMEA Masters lors du segment d'été en 2023?,,L'équipe a remporté les EMEA Masters pour la quatrième fois lors du segment d'été en 2023.
Quelle division européenne la section League of Legends a-t-elle rejoint en 2023?,,"La section League of Legends a rejoint la première division européenne, les League of Legends EMEA Championship (LEC) en 2023."
Avec quelle équipe la section League of Legends a-t-elle signé un accord pour acquérir sa place dans les League of Legends EMEA Championship (LEC)?,,La section League of Legends a signé un accord avec l'équipe danoise Astralis pour acquérir sa place dans les League of Legends EMEA Championship (LEC).
Dans quelle ville la structure a-t-elle ouvert des locaux pour assurer le développement de la section Valorant en 2023?,,La structure a ouvert des locaux à Berlin pour assurer le développement de la section Valorant en 2023.
Quel est le nom de l'événement organisé par la structure en 2021 ?,2021,Le premier Karmine Corp Experience (KCX)
Où s'est déroulée la deuxième édition du KCX en 2022 ?,2022,Au Palais omnisports de Paris-Bercy
Combien de spectateurs ont assisté au KCX3 en 2023 ?,2023,Plus de 28 000 spectateurs
En quelle année le club est devenu résident des Arènes de l'Agora ?,Arènes de l'Agora,En 2024
Quel est le nom de la nouvelle équipe du club qui a pris la place laissée vacante en LFL ?,LFL,Karmine Corp Blue
Quelle est la structure d'e-sport créée par Kameto en 2020?,,Kameto Corp
Quels sont les noms des cinq premiers joueurs de la structure Kameto Corp?,,"Adam « Adam » Maanane, Philippe « Akabane » Le, Ilias « Nuclearint » Bizriken, Julien « jujutw0 » Izzo et Jérémy « Helaz » François"
Quand la Kameto Corp a-t-elle été renommée Karmine Corp?,,Après le live sur la chaine Twitch de Kameto le 17 novembre 2020
Qui est le seul joueur conservé de la Division 2 pour rejoindre la LFL en 2021?,,Adam « Adam » Maanane
Quelle est la date de l'annonce de l'équipe de la Karmine ?,,Le 23 décembre 2020
Qui est le jungler de l'équipe de la Karmine ?,,Jakub « Cinkrof » Rokicki
Quel joueur occupe le poste de mid laner dans l'équipe de la Karmine ?,,Lucas « Saken » Fayard
Quel est le rôle de Matthew « xMatty » Coombs dans l'équipe de la Karmine ?,,AD Carry
Qui est le support de l'équipe de la Karmine ?,,Raphaël «Targamas » Crabbé
Quel joueur était déjà champion de France avec les Misfits Premier l'année dernière ?,,Raphaël «Targamas » Crabbé
Qui est le coach de l'équipe de la Karmine ?,,Yanis « Striker » Kella
Quelle équipe a remporté le championnat?,,La Karmine Corp
Combien de rencontres la Karmine Corp a-t-elle perdu au total?,,3 rencontres
Contre quelle équipe la Karmine Corp a-t-elle perdu le match retour?,Solary,Solary
Qui était le toplaner de la Karmine Corp lors de la finale?,,Adam
Quelle compétition la victoire de la Karmine Corp leur permet-elle de se qualifier ?,,Les European Masters
Qui était l'ancien joueur de la Karmine Corp parti chez l'équipe réserve de Schalke 04 ?,,Nuclearint
Contre quelle équipe la Karmine Corp a-t-elle été bousculée en quarts de finale ?,,ŠAIM SE SuppUp
Quelle équipe a affronté la Karmine Corp en demi-finale ?,,UCAM Esports Club
Qui a débloqué la victoire de la Karmine Corp en demi-finale ?,,Saken
Contre quelle équipe la Karmine Corp a-t-elle remporté la finale ?,,BT Excel
Qui a félicité la Karmine Corp pour sa victoire sur Twitter ?,,Le président de la République Emmanuel Macron
Quelle équipe a remporté 9 victoires en 9 matchs en première moitié de segment impériale ?,,La Karmine
Contre qui la Karmine a-t-elle joué en finale du segment ?,,Misfits Premier
Quel était le score final de la finale entre la Karmine et les Misfits Premier ?,,3-1
Quelle compétition les European Masters ont-ils remportée l'année précédente ?,,European Masters
Quelle équipe a battu la Karmine Corp en finale du segment ?,,Misfits Premier
Combien de matchs la Karmine Corp a-t-elle perdu en finale du segment ?,,1
Quelle équipe a remporté son premier titre en 2021 en battant la Karmine Corp ?,,Misfits Premier
Quel événement sportif s'est déroulé juste avant le début des European Masters ?,,La Karmine Corp a renversé Vitality.Bee 3-2 dans le cadre de la Coupe de France.
Quel était le score initial du match entre la Karmine Corp et Vitality.Bee ?,,La Karmine Corp était menée 2-0.
Quelle équipe a remporté les trois manches suivantes pour se qualifier pour la finale à Monaco ?,,La Karmine Corp a remporté les trois manches suivantes.
Contre quelle équipe la Karmine Corp prend-elle sa revanche en se qualifiant pour la finale à Monaco ?,Misfits Premier,La Karmine Corp prend sa revanche sur Misfits Premier.
Quand se déroule la compétition européenne mentionnée dans le texte ?,,La compétition européenne se déroule juste après la qualification de la Karmine Corp pour la finale à Monaco.
Quel était le résultat du dernier match de la Karmine Corp en finale de la Coupe de France en 2021 ?,Coupe de France,La Karmine Corp a perdu 3-2 contre Misfits Premier en finale de la Coupe de France en 2021.
Combien de matchs la Karmine Corp a-t-elle joué en tout lors de la saison 2021 ?,Liste détaillée des matchs de la Karmine Corp,La Karmine Corp a joué un total de 23 matchs lors de la saison 2021.
Quel était le bilan de la Karmine Corp à la fin de la saison estivale en 2021 ?,Segment Estival,Le bilan de la Karmine Corp à la fin de la saison estivale en 2021 était de 14 victoires et 4 défaites.
Contre quelle équipe la Karmine Corp a-t-elle remporté la finale de la Coupe de France en 2021 ?,Coupe de France,La Karmine Corp a remporté la finale de la Coupe de France contre Misfits Premier en 2021.
Quelle est la date de la conférence de presse annonçant le départ de certains joueurs de l'équipe LFL ?,,Le 15 novembre 2021
Qui sont les joueurs qui ont quitté l'équipe LFL lors de cette conférence de presse ?,,"Cinkrof, Targamas et xMatty"
Qui sont les membres du staff technique dont le contrat a été prolongé jusqu'en 2023 ?,,Striker et Reha
Quel joueur suédois a rejoint l'équipe Karmine Corp en provenance de G2 Esports ?,,Martin « Rekkles » Larsson
Pourquoi Martin « Rekkles » Larsson était-il sur la liste des transferts de G2 Esports ?,,Après la non-qualification aux Worlds 2021 de G2
Combien aurait coûté le transfert de Martin « Rekkles » Larsson à la Karmine Corp ?,,Près d'un million d'euros
Quels joueurs ont complété le roster de l'équipe LFL après l'arrivée de Martin « Rekkles » Larsson ?,,"Cabochard, Saken, Jules « Hantera » Bourgeois, Doğukan « 113 » Balcı (Bumm) et Wao « Wao » Dai"
Quel est le nom de l'équipe e-sport fondée par le streamer espagnol Ibai Llanos et le footballeur Gérard Piqué ?,,KOI
Quel est le résultat du premier match de la Karmine Corp contre les KOI ?,,La Karmine a perdu 2-1
Où a eu lieu le match retour entre la Karmine et les KOI ?,,Le match retour a eu lieu au Carrousel du Louvre à Paris
Quel est le résultat du match retour entre la Karmine et les KOI ?,,La Karmine a battu les KOI 2-1
Quel est le sponsor principal maillot de la Karmine ?,,Orange
Quelle équipe a perdu quatre de ses six premiers matchs dans la LFL ?,,Karmine Corp
Où s'est déroulée la 4e semaine du championnat ?,,Acropolis de Nice
Contre quelle équipe la Karmine Corp a-t-elle remporté deux victoires écrasantes en 4e semaine ?,,GameWard
Qui a réalisé un Pentakill lors des victoires de la Karmine Corp en 4e semaine ?,,Rekkles
Quelle équipe était jusque-là impériale lors de la remontée de la Karmine Corp dans le classement ?,,Vitality.Bee
Où la Karmine Corp a-t-elle terminé à la fin de la saison régulière ?,,Deuxième
De combien de victoires les LDLC OL étaient-ils en avance sur la Karmine Corp à la fin de la saison régulière ?,,Une
Quelle équipe a battu la Karmine Corp lors des play-offs de LFL ?,Aucune,LDLC OL et Team BDS Academy ont battu la Karmine Corp lors des play-offs de LFL.
Quelle était la performance de la Karmine Corp lors des play-offs de LFL ?,Aucune,"La Karmine Corp a été balayée 3-0 par LDLC OL dans la demi-finale des gagnants et battue 3-1 par Team BDS Academy dans la demi-finale des perdants, terminant ainsi 3e de la saison de LFL."
Quelle compétition la Karmine Corp est-elle qualifiée pour après les play-offs de LFL ?,Aucune,La Karmine Corp est qualifiée pour les Amazon European Masters et défendra son titre.
Quelle équipe a remporté les Amazon European Masters ?,,Karmine Corp
Contre quelle équipe la KC a-t-elle joué en quarts-de-finale ?,,Unicorns of Love
Quelle équipe la KC a-t-elle affrontée en demi-finale ?,,Vitality.Bee
Contre quelle équipe la KC a-t-elle joué en finale ?,,LDLC OL
Quel a été le score final de la finale des Amazon European Masters ?,,3-1
Combien de fois la Karmine Corp a-t-elle remporté les European Masters ?,,3
Quelle équipe a remporté cinq victoires sur six rencontres au début du segment d'été ?,début du segment d'été,La Karmine Corp
Où la Karmine Corp a-t-elle joué son match de saison régulière contre Misfits Premier ?,match de saison régulière contre Misfits Premier,À l'Accor Arena
Comment la série de victoires de la Karmine Corp s'est-elle terminée ?,série de victoires,Par une défaite
Comment la Karmine Corp a-t-elle terminé la saison régulière ?,saison régulière,6e
Dans quelle compétition la Karmine Corp n'est-elle pas encore qualifiée ?,Amazon European Masters,La Karmine n'est pas encore qualifiée pour les Amazon European Masters
Contre quelle équipe la Karmine Corp est-elle opposée dans l'arbre des perdants ?,arbre des perdants,Les Boulonnais de GameWard
Qui rejoint l'équipe de la Karmine Corp pour la saison 2023 ?,,"Duncan « Skeanz » Marquet, Hasan « Kaori » Sentürk, Alexandru « whiteinn » Kolozsvari, Lucas « Cabochard » Simon-Meslet, Lucas « Saken » Fayard, Stefan « Nerroh » Pereira, Clément « Nalkya » Guillemard, Rehareha « Reha » Ramanana

-"
Qui rejoint Kameto et Prime en tant que directeur de la structure ?,,Arthur Perticoz
Quelle est la performance de l'équipe durant le Winter Split?,Winter Split,7 victoires pour 11 défaites
Quelle est la position de l'équipe à la fin du Winter Split?,Winter Split,Avant-dernière position de la LFL
Qui sont les joueurs qui réintègrent l'équipe en prévision du Summer Split?,Summer Split,Raphaël «Targamas » Crabbé et Jakub « Cinkrof » Rokicki
Qui remplace whiteninn et Skeanz dans l'équipe?,"whiteninn, Skeanz",Raphaël «Targamas » Crabbé et Jakub « Cinkrof » Rokicki
Qui remplace Kaori dans l'équipe?,Kaori,Caliste « Caliste » Henry-Hennebert
Qui devient l'entraîneur principal de l'équipe?,coach,Reha
Quelle équipe a pris la 1re place du classement lors du Summer Split 2023 ?,,L'équipe de la Karmine
Quel joueur a battu le record d'éliminations sur une saison régulière lors du Summer Split ?,,Caliste
Quel joueur a battu le record d'assistances lors du Summer Split ?,,Targamas
Quelle équipe la Karmine a-t-elle battue en finale pour remporter son deuxième titre de champion de France ?,BK ROG,BK ROG
Contre quelle équipe la Karmine s'est-elle qualifiée en finale des EMEA Master ?,Movistar Riders,Movistar Riders
Quelle équipe a remporté le championnat d'Europe en 2023?,,La Karmine Corp a remporté le championnat d'Europe en 2023.
"Qui est le ""midlaner"" français ayant remporté ses 4èmes EMEA Master en 2023?",,"Lucas ""Saken"" Fayard est le ""midlaner"" français ayant remporté ses 4èmes EMEA Master en 2023."
Quand la Karmine Corp a-t-elle annoncé son entrée à la LEC?,,La Karmine Corp a annoncé son entrée à la LEC le 18 octobre 2023.
Jusqu'à quelle année le jeune Caliste a-t-il prolongé son contrat avec la Karmine Corp?,,Le jeune Caliste a prolongé son contrat avec la Karmine Corp jusqu'en 2026.
Comment s'est déroulée la première année de la Karmine Corp en LEC en 2024?,,"La Karmine Corp a débuté en LEC en 2024 avec le Winter split et a fini dernière avec 2 victoires sur 9, ce qui ne lui a pas permis de se qualifier pour les playoffs."
Quel changement est prévu au sein des joueurs de la Karmine Corp pour le Summer Split?,,"Il y aura du changement au sein des joueurs de la Karmine Corp pour le Summer Split, comme indiqué par le responsable de la structure, Kameto."
Quel joueur est mis sur le banc pour le post de jungler ?,post de jungler,Zhou « Bo » Yang-Bo
Qui est appelé à rejoindre les rangs de la KC pour le post de jungler ?,post de jungler,Can « Closer » Çelik
Qui est recruté au profit de Lucas « Cabochard » Simon-Meslet pour le poste de toplaner ?,poste de toplaner,Kim « Canna » Chang-Dong
Qui prend la place de Lucas « Saken » Fayard au poste de midlaner ?,poste de midlaner,Vladimiros « Vladi » Kourtidis
Quand la Karmine Corp annonce la création de son roster Teamfight Tactics ?,Karmine Corp,Le 22 août 2020
Qui remporte la Teamfight Tactics Galaxies Championship en devenant le premier champion du monde sur ce jeu ?,Teamfight Tactics Galaxies Championship,Emre « Double61 » Demirtas
Qui est le partenaire de jeu principal de Double61 dans l'équipe Teamfight Tactics de la Karmine Corp ?,équipe Teamfight Tactics de la Karmine Corp,Muhammed « CanbizZ » Canbaz
D'où viennent les joueurs Double61 et CanbizZ ?,joueurs Double61 et CanbizZ,département de l'Orne
Quelle est la date à laquelle la Karmine Corp a annoncé sa participation à la Trackmania Cup?,,Le 17 juillet 2020
Qui est le pilote français annoncé par la Karmine Corp pour sa participation à la Trackmania Cup?,,Romain « DarkeR » Dassonneville
Quel pilote est annoncé comme pilote titulaire pour la Trackmania Grand League un mois après l'annonce de la participation de la Karmine Corp à la Trackmania Cup?,,Brendan « Bren » Seve
En quelle année Double 61 deviendra-t-il vice-champion du monde de TFT?,,2024
Quand a été annoncée la création de la quatrième équipe de la Karmine Corp sur Rocket League ?,,Le 26 juillet 2021
Quels sont les noms des trois joueurs de l'équipe de Rocket League de la Karmine Corp ?,,"Maëllo « AztraL » Ernst, Marc « Stake » Bosch et Amine « itachi » Benayashi"
Où a eu lieu l'annonce officielle de la création de la quatrième équipe de la Karmine Corp sur Rocket League ?,,Au Palais des Congrès de Paris
Quel est le nom du tournoi de pré-saison auquel la Karmine Corp participera avec son équipe Rocket League ?,,WePlay e-sport Invitational
Quel est le circuit de tournois officiel de Rocket League mentionné dans le texte ?,,Rocket League Championship Series 2021-2022
Quel tournoi a permis à la Karmine Corp d'obtenir son premier trophée sur Rocket League ?,,WePlay e-sport Invitational
Contre quelle équipe la Karmine Corp a-t-elle remporté son premier trophée sur Rocket League ?,,Team BDS
Quel était le score de la finale entre la Karmine Corp et Team BDS ?,,4-1
Quel format de finale a été annoncé par l'organisation du tournoi ?,,"Deux manches gagnantes de matchs en quatre parties gagnantes, sans avantage pour le vainqueur de l'arbre des gagnants"
Combien la Karmine Corp a-t-elle remporté en dotation pour sa victoire ?,,15 000 dollars
Quels joueurs ont rejoint la KCorp pour remplacer Aztral et Noly en Septembre 2022 ?,"Aztral, Noly",Vatira et Exotiik ont rejoint la KCorp pour remplacer Aztral et Noly en Septembre 2022.
